SMILES;pK_BHX
CN(C)C(=[O:1])C12CC3CC(CC(C3)C1)C2;2.30
[O:1]=CN1CCCC1;2.31
[O:1]=CN1CCCCC1;2.17
CCCCN(CCCC)C=[O:1];2.17
CC(C)N(C=[O:1])C(C)C;2.24
CC(=[O:1])N1CCCC1;2.61
CC(C)N(C(C)C)C(C)=[O:1];2.47
CC(=[O:1])N1CCCCC1;2.45
CCCCC(=[O:1])CCCC;1.21
CN(C)C=NC(=[O:1])N(C)C;2.92
CC12CCC3C(CCC4CCCCC34C)C1CCC2=[O:1];1.36
CCC(=[O:1])c1ccccc1;1.04
CCCC(=[O:1])c1ccccc1;1.04
CN1N(C(=[O:1])C=C1C)c1ccccc1;2.80
CN(C)C1=C(C)N(C)N(C1=[O:1])c1ccccc1;2.45
CC(=[O:1])N1CCOCC1;2.16
[O:1]=CN1CCOCC1;1.93
CC(=[O:1])c1ccc(cc1)N1CCOCC1;1.61
[NH2:1]c1cccc(Cl)c1;0.13
[NH2:1]c1cccc(F)c1;0.20
CC(C)c1cccc(C(C)C)c1[NH2:1];0.37
CCc1cccc(CC)c1[NH2:1];0.39
[NH2:1]c1ccccc1;0.46
Cc1cccc(C)c1[NH2:1];0.47
Cc1ccc([NH2:1])cc1;0.56
C[NH:1]c1ccc(Cl)cc1;0.05
C[NH:1]c1ccccc1;0.26
C[NH:1]c1ccc(C)cc1;0.43
C1C[NH:1]c2ccccc2C1;0.70
C1Cc2ccccc2[NH:1]1;0.79
C[N:1](C)c1ccc(Br)cc1;0.17
CC[N:1](CC)c1ccccc1;0.05
C1CC[N:1](C1)c1ccccc1;0.16
C[N:1](C)c1ccccc1;0.39
C[N:1](C)c1cccc(C)c1;0.41
C1C[N:1]2CCCc3cccc(C1)c23;0.39
C1CC[N:1](CC1)c1ccccc1;0.68
C[N:1](C)c1ccc(C)cc1;0.69
[NH3:1];1.74
C1CC[NH:1]CC1;2.38
CC[NH:1]C;2.25
CC[NH:1]CC;2.25
C[NH:1]C1CCCCC1;2.24
CCCC[NH:1]C;2.24
C1CCC[NH:1]CC1;2.24
C[NH:1]C(C)(C)C;2.21
C[NH:1]C(C)C;2.20
CCCC[NH:1]CCCC;2.11
CC(C)[NH:1]C(C)C;2.00
C[NH:1]CC=C;2.00
CC1(C)CCCC(C)(C)[NH:1]1;1.88
C=CC[NH:1]CC=C;1.70
C[NH:1]CC#C;1.64
C([NH:1]Cc1ccccc1)c1ccccc1;1.34
ClCC[NH:1]CCCl;1.19
C1C[NH:1]C(C1)c1ccccc1;1.93
Fc1cccc(c1)C1CCC[NH:1]1;1.65
FC(F)(F)c1cccc(c1)C1CCC[NH:1]1;1.38
C1CC2(CC[N:1]1CC2)c1ccccc1;2.46
C[N:1]1C2CCC1CCC2;2.39
C[N:1]1CCCC1;2.19
CC[N:1](C)C;2.17
C[N:1](C)C1CCCCC1;2.15
C[N:1](C)C;2.13
CC(C)[N:1](C)C;2.11
C[N:1]1CCCCC1;2.11
CCCC[N:1]1CCCC1;2.04
CC[N:1](CC)CC;1.98
ClC1C[N:1]2CCC1CC2;1.97
C[N:1](C)CC=C;1.92
C[N:1]1CCCC(CCl)C1;1.74
C[N:1]1CCC(Cl)CC1;1.70
C[N:1](C)CC#C;1.60
C[N:1](C)Cc1ccccc1;1.59
CCCCCCCC[N:1](CCCCCCCC)CCCCCCCC;1.57
CCCC[N:1](CCCC)CCCC;1.55
C[N:1](C)CCCCl;1.54
CCC[N:1](CCC)CCC;1.47
ClCC[N:1]1CCCC1;1.45
C=CC[N:1](CC=C)CC=C;1.34
